Name,Rating,Type,Type1,Hours,About,suggest_duration,ImageURL,Address,Guide
Flat Creek Estate Winery,4.5,NULL,NULL,11:00 AM - 7:00 PM,"Experiences Happen Here - Whether you're looking for a traditional relaxed wine tasting experience, an active day of disc golf or hiking through the vineyards, a romantic dinner overlooking the Texas Hill Country or a fun afternoon out with friends, Flat Creek Estate is where experiences happen. Build your Texas Hill Country Experience today!",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/38/62/94/hill-country-destination.jpg?w=100&h=-1&s=1,"24912 Singleton Bend East Rd, Marble Falls, TX 78654-3622",NULL
Minuteman Trail Bikeway,4.5,Historic Walking Areas , Biking Trails,NULL,This 10-mile paved path covers part of the route of Paul Revere's midnight ride.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/a2/6a/2b/minuteman-trail.jpg?w=100&h=-1&s=1,NULL,NULL
Green World Coffee Farms,4.5,NULL,NULL,6:00 AM - 7:00 PM,"Green World Coffee Farm has so much to offer. Free Tours of our farm are offered daily from 9am- 5pm. We are open 363 days out of the year (closed Thanksging and Christmas). We have a wonderful espresso bar, a retail shop that offers a wide variety of freshly roasted coffew for you to purchase (we roast daily in our store) as well as local products that make great gifts!",< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/ba/e6/86/20180216-175227-largejpg.jpg?w=100&h=-1&s=1,"71 N Kamehameha Hwy # 101, Wahiawa, Oahu, HI 96786-1858",NULL
Loneliest Highway in America (Hwy. 50),4.5,NULL,NULL,NULL,"Travelers of the Loneliest Road are well rewarded by the almost surrealistic intensity of the wild western landscape. Deep blue skies and jagged stone tower above the bone white desert floor. The hypnotic rhythm of telephone poles march single file, a solemn procession beside the road.The Loneliest Road in America, Highway 50 is really one of the most beautiful and interesting drives you’ll ever take.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/14/ae/5f/photo7jpg.jpg?w=100&h=-1&s=1,NULL,NULL
Cameron Prairie National Wildlife Refuge,4.5,NULL,NULL,NULL,"A major sanctuary for migrating waterfowl, this 24,600-acre refuge offers boating, fishing, scenic drives and nature observation.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/4b/7d/65/cameron-prairie-national.jpg?w=100&h=-1&s=1,NULL,NULL
Sculpterra Winery & Sculpture Garden,4.5,Wineries & Vineyards , Art Museums,10:00 AM - 5:00 PM,"Visit Sculpterra Winery and Sculpture Garden in Paso Robles, California and experience a unique fusion of wine and art. Escape to another world as you enter the museum and view the decorative iron signage, fencing, and tasting room embellishments by Bob Bentley, a master blacksmith with a renaissance style and quality that will astound you. Enjoy a picnic or just stroll through our magnificent sculpture garden, a testimonial to the life work of John Jagger, a world renown sculptor. His larger than life sculptures in bronze and granite is truly amazing. The tasting room of Sculpterra Winery currently features Jagger’s miniature series of bronze sculptures as well as many contemporary pieces of art from many world wide recognized artist. Sculpterra Winery & Sculpture Garden is a must-see for anyone visiting the Central Coast. Sculpterra is your best choice among Paso Robles wineries for intimate wine country weddings, club meetings and special events on the California Central Coast.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/86/52/2d/sweet-dreams.jpg?w=100&h=-1&s=1,"5015 Linne Rd, Paso Robles, CA 93446-9413",NULL
Petoskey State Park,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/83/c6/c0/petoskey-state-park.jpg?w=100&h=-1&s=1,"2475 M 119, Petoskey, MI 49770-8915",NULL
Resurrection Bay,5.0,NULL,NULL,NULL,"This area provides birders with views of fulmars, petrels, puffins, murres, kittiwakes and auklets.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/bc/df/ea/kenai-fjords-tour.jpg?w=100&h=-1&s=1,NULL,NULL
Kamaole Beach Park I,4.5,Beaches , Parks,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/f3/43/14/kamaole-beach.jpg?w=100&h=-1&s=1,NULL,NULL
Cape Meares Lighthouse,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/da/1c/97/lookout-point.jpg?w=100&h=-1&s=1,"3500 Cape Meares Loop, Tillamook, OR 97141",NULL
North Cascades Highway,4.5,NULL,NULL,NULL,A scenic highway measuring 132 miles.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c1/c2/c5/diablo-lake-overlook.jpg?w=100&h=-1&s=1,NULL,NULL
Desert Hills Premium Outlets,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/a1/cb/12/desert-hills-premium.jpg?w=100&h=-1&s=1,"48400 Seminole Dr, Cabazon, CA 92230-2125",NULL
Kapalua Beach,4.5,NULL,NULL,NULL,"This serene cove on the northwestern tip of Maui is known as one of the most beautiful spots in Hawaii. Sunbathe on the soft white sand and snorkel in the warm, calm, crystal-clear waters. The area is teaming with marine life, and you can easily spot fish, eels, and sea turtles swimming amongst the coral.

This small beach can get crowded—arrive early to get a good spot, or come later in the afternoon for a vibrant sunset. There are restrooms and showers by the parking lot, and the walk along Kapalua Coastal Trail is a great way to take in the view. 

– Tripadvisor",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/55/24/b7/kapalua-beach.jpg?w=100&h=-1&s=1,NULL,NULL
Blank Park Zoo,4.0,NULL,NULL,10:00 AM - 4:00 PM,"Imagine a place where you can have a wild family adventure viewing rhinos or feeding a giraffe while also helping preserve animals for future generations. A portion of the proceeds from your visit to Blank Park Zoo is used to protect animal populations throughout the world. Blank Park Zoo is approximately 30 acres and features an indoor rain forest Discovery Center, Jamaa Kwa Africa, Australia Adventure, Kids Kingdom, Great Cats Complex, a Sea Lion and Seal pool and more.",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/0c/f2/b7/entrance.jpg?w=100&h=-1&s=1,"7401 SW 9th St, Des Moines, IA 50315-6667",NULL
The Mob Museum,4.5,NULL,NULL,9:00 AM - 9:00 PM,The Mob Museum is a 501(c)3 nonprofit organization with a mission to advance the public understanding of organized crime’s history and impact on American society. The Mob Museum offers a bold and authentic view of organized crime from vintage Las Vegas to the back alleys of American cities and—increasingly—across the borders and networks of the entire world. Explore the real stories and actual events of Mob history through interactive exhibits and one-of-a-kind Mob and law enforcement artifacts found inside our restored 1933 former courthouse and post office building located just minutes from Fremont Street.,2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d9/0a/5a/the-coourthouse-where.jpg?w=100&h=-1&s=1,"300 Stewart Avenue, Las Vegas, NV 89101-2956",NULL
Lower Yellowstone River Falls,5.0,NULL,NULL,NULL,A spectacular waterfall located in Canyon Country.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/30/6f/1e/lower-yellowstone-river.jpg?w=100&h=-1&s=1,NULL,NULL
Comal River,4.5,NULL,NULL,NULL,A two-mile river (the world's shortest) that offers sites for family picnics and gatherings.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/3f/7d/36/river.jpg?w=100&h=-1&s=1,"Landa Park Drive, New Braunfels, TX 78130",NULL
Savannah Rapids Visitor Center,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/ca/13/a5/savannah-rapids-visitor.jpg?w=100&h=-1&s=1,"3300 Evans To Locks Rd, Augusta, GA 30907-4903",NULL
Sabino Canyon,4.5,NULL,NULL,NULL,"Located in the Catalina Mountains and part of the Coronado National Forest, this beautiful canyon offers outdoor recreation including hiking, swimming, biking and picnicking. For an overview of the area, take the narrated shuttle bus tour.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/24/c0/cd/sabino-canyon.jpg?w=100&h=-1&s=1,"5900 N Sabino Canyon Rd, Tucson, AZ 85750-0800",NULL
Pilgrim Monument & Provincetown Museum,4.5,Speciality Museums , Monuments & Statues,NULL,"This monument commemorates the Pilgrim's first landing in Provincetown (not Plymouth), where they conceived, wrote and committed to the Mayflower Compact - the foundational document for the democracy America enjoys today. The Monument is the tallest all-granite structure in the U.S. rising 353 feet above sea level, and at the top, visitors are provided the most spectacular view of Cape Cod.In addition to the MOnument, the Provincetown Museum presents the unique cultural heritage of this historic town with special exhibitions and permanent displays.The Monument and Museum has ample parking, is open daily from APril 1st through November 30, and NEW this year - a food concession call the ""Shallop Cafe"" where visitors can enjoy a picnic lunch overlooking Provincetown and the Bay.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/9d/51/d9/pilgrim-monument-provincetown.jpg?w=100&h=-1&s=1,"1 High Pole Hill Rd, Provincetown, MA 02657",NULL
"Leadville, Colorado & Southern Railroad",4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/26/ab/2c/leadville-colorado-southern.jpg?w=100&h=-1&s=1,NULL,NULL
Victory Casino Cruises,4.0,NULL,NULL,9:00 AM - 7:00 PM,"Victory Casino, in Port Canaveral, Florida is the most authentic Las Vegas-style casino experience in Florida. Featuring five and six-hour cruises along Florida’s incredible Space Coast and departing from Port Canaveral, Victory Casino sails twice a day, Tuesdays through Sundays. With more than 600 of the latest slot machines and a selection of 27 of the best LIVE table games, there’s always something to play. Victory Casino offers Florida’s only LIVE roulette and LIVE craps tables, so you are right there where the action is. They also offer other LIVE table games such as Blackjack, 3 Card Poker, Ultimate Texas Hold 'Em, Let It Ride, EZ Bac, Bingo and Sportsbook! Enjoy superb food in our Atlantic Café as well as drinks, which are available on all four decks. Plus, the drinks are FREE while gaming! Victory Casino is the place to be for fun! Come along for the ride to…Feel the Excitement and Experience the Victory!",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/04/3d/9b/the-victory-1.jpg?w=100&h=-1&s=1,"180 Christopher Columbus Dr Terminal B-2 Port Canaveral, Cape Canaveral, FL 32920-2410",NULL
Enchanted Circle Drive,4.5,NULL,NULL,NULL,"Scenic drive that circles through the Carson National Forest, north and east of Taos.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/73/00/7d/enchanted-circle-drive.jpg?w=100&h=-1&s=1,NULL,NULL
Wilder Ranch State Park,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/7f/e2/50/wilder-ranch.jpg?w=100&h=-1&s=1,"1401 Coast Rd, Santa Cruz, CA 95060-5601",NULL
Kealakekua Bay,4.5, Bodies of Water , Nature & Wildlife Areas,12:00 AM - 11:59 PM,,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/81/17/34/kealakekua-bay.jpg?w=100&h=-1&s=1,"Honaunau-Napoopoo, Captain Cook, Island of Hawaii, HI 96704",NULL
Castle & Key Distillery,5.0,NULL,NULL,12:00 PM - 5:00 PM,"Castle & Key Distillery is located on the site of the historic Old Taylor Distillery in Millville, KY. After sitting abandoned to fall into ruin, new owners purchased the property in 2014. Production began at the distillery in late 2016 for the first time in over 40 years. Castle & Key produces premium spirits made from scratch. Gin and vodka are currently available while bourbon and rye whiskey continue to age.",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ce/5b/bf/castle-key-distillery.jpg?w=100&h=-1&s=1,"4445 McCracken Pike, Frankfort, KY 40601-8233",NULL
Water Country USA,4.5,NULL,NULL,NULL,"Keeping cool during a summer packed with thrills is easy at Water Country USA®. Virginia's largest water park offers fun for the entire family with resort-style amenities and more than 40 state-of-the-art water rides and attractions. Experience a rush aboard Colossal Curl™, the park’s first family thrill ride and the first of its kind in North America. Unwind and relax on a journey down the park’s lazy river or catch a wave at the Surfer’s Bay Wave Pool. Little ones can have a “splashtastic” good time in one of the park’s KIDsiderate® play areas designed just for them. Water Country USA also offers swim lessons and classes to help guests stay safe and feel confident in the water. With something for everyone, Water Country USA is hot destination for a cool summer.",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/ad/0f/3a/great-day-at-water-country.jpg?w=100&h=-1&s=1,"176 Water Country Pkwy, Williamsburg, VA 23185-5828",NULL
Lake Lure Flowering Bridge,4.5,Points of Interest & Landmarks , Bridges,12:00 AM - 11:59 PM,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/11/2d/bb/lake-lure-flowering-bridge.jpg?w=100&h=-1&s=1,"3068 Memorial Hwy # 7, Lake Lure, NC 28746-9801",NULL
Belle Isle State Park,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/a9/1a/72/wading-beach.jpg?w=100&h=-1&s=1,"Route 3 Lancaster County, VA 22503",NULL
Trustom Pond National Wildlife Refuge,5.0,NULL,NULL,NULL,Free refuge which has trails over fields and around salt marshes.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/83/a8/b0/at-the-start-of-the-trail.jpg?w=100&h=-1&s=1,NULL,NULL
Vicksburg National Military Park,4.5,Battlefields , Parks,8:30 AM - 5:00 PM,"1800 acres of now peaceful countryside, this park was once the scene of a bloody 47-day Civil War battle.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d8/e1/9a/illinois-monument.jpg?w=100&h=-1&s=1,"3201 Clay St, Vicksburg, MS 39183-3495",NULL
Dr Pepper Museum,4.0,NULL,NULL,10:00 AM - 5:30 PM,"A museum dedicated to the nation's oldest major soft drink - Dr Pepper! We offer three floors of exhibits featuring information about many different soft drinks, as well as a carefully curated selection of our massive soft drink memorabilia collection. Exhibits change regularly! You can visit our soda fountain and gift shop any time without paying admission. Photo ops outside the Museum include a Dr Pepper Green 1940s delivery truck, one of three original neon signs from the Mockingbird Plant in Dallas, and a hand-painted advertising sign original to the site. Of course the front of the Museum building itself is visitors' favorite photo location. We are a two block walk from Magnolia Market and the famous silos, and about half a mile from the newest restaurants including Torchy's Tacos and In-N-Out Burger.",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/45/c7/78/the-dr-pepper-museum.jpg?w=100&h=-1&s=1,"300 S 5th St, Waco, TX 76701-2115",NULL
Fort Worden State Park,4.5,State Parks , Military Bases & Facilities,NULL,Stroll along beautiful beaches and explore rows of Victorian-style houses: this park has something for everyone.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/eb/dc/56/fort-worden-state-park.jpg?w=100&h=-1&s=1,"200 Battery Way, Port Townsend, WA 98368-3621",NULL
Rancho San Antonio County Park,4.5,NULL,NULL,NULL,Park featuring 23 miles of running trails.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fb/b8/d9/rancho-san-antonio-trail.jpg?w=100&h=-1&s=1,"Cristo Rey Drive, Cupertino, CA 95014",NULL
Christ of the Deep,4.5,NULL,NULL,NULL,"A 4,000 pound bronze statue of Christ installed at the Key Largo National Marine Sanctuary.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/bb/92/9a/christ-of-the-abyss.jpg?w=100&h=-1&s=1,NULL,NULL
Stingray Reef 215 Kipp Ave,4.5,NULL,NULL,NULL,,< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9b/79/e0/they-re-so-friendly.jpg?w=100&h=-1&s=1,"215 Kipp Ave, Kemah, TX 77565-2840",NULL
Bowditch Point Park,4.5,NULL,NULL,9:00 AM - 4:00 PM,,2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/fd/94/53/trail-through-preserve.jpg?w=100&h=-1&s=1,"50 Estero Blvd, Fort Myers Beach, FL 33931-2055",NULL
Kalapaki Beach,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/17/7f/da/kalapaki-beach.jpg?w=100&h=-1&s=1,"Shoreline Access Off Highway 56, Lihue, Kauai, HI 96766",NULL
Ybor City,4.0, Neighborhoods , Points of Interest & Landmarks,NULL,"Ybor City, once the cigar capital of the world, is a vibrant neighborhood in Tampa that boasts an exciting nightlife and delicious food. You can explore the historic district on a walking tour to learn more about the architecture and immigrant history, or indulge in a food tour that takes you to Latin and soul food restaurants.

As the sun sets, the area transforms into a lively entertainment district where you can do a pub crawl, dance the night away, or catch some live music. To get there, you can hop on a free streetcar from downtown. There's also a weekly local flea market. – Tripadvisor",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/f6/7e/d9/ybor-city-centro-mit.jpg?w=100&h=-1&s=1,"Northeast of the Downtown Tampa on I-4 at Exit 1, Tampa, FL 33618",NULL
Totem Bight State Historical Park,4.5,Historic Sites , State Parks,7:00 AM - 6:00 PM,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/a2/84/3d/clan-house.jpg?w=100&h=-1&s=1,"9883 N Tongass Hwy, Ketchikan, AK 99901-9246",NULL
Old Town Bluffton,4.5,NULL,NULL,11:00 AM - 2:00 AM,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/82/1c/9f/20181125-123813-largejpg.jpg?w=100&h=-1&s=1,NULL,NULL
Oconaluftee Islands Park,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/9d/c4/c7/oconaluftee-islands-park.jpg?w=100&h=-1&s=1,NULL,NULL
Hattiesburg Zoo,4.5,NULL,NULL,10:00 AM - 4:00 PM,"12-acre Zoo featuring over 100 species of animals including tiger, tapir, capybara, zebras, alpacas, primates, birds, sloths, reptiles, flamingos, servals, porcupines, fennec fox, and more! Attractions located within the zoo include: train, carousel, high ropes adventure course, splash pad, wallaby walkabout, mining expedition, Asbury Discovery Center, Safari Grill, Pop's Brothers Popsicles, Snow Cones, and a whole lot more. We are open Tuesday through Sunday, 10:00 a.m. - 4:00 p.m. Admission is $5 for everyone, children under two get in free!",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/f0/89/ca/tiger.jpg?w=100&h=-1&s=1,"107 S 17th Ave, Hattiesburg, MS 39401-6128",NULL
Inner Space Cavern,4.5,NULL,NULL,10:00 AM - 5:00 PM,"Inner Space Cavern was discovered in 1963 by the Texas Highway Department. During construction of Interstate 35, they were required to do regulation core testing, which required them to drill into the ground. As they did this, they inadvertently drilled into the cave 8 times out of the 20 samples they took. Once they lost those 8 drill bits, they knew they hit a cave. They searched all over the surrounding area but could not find any access into the cave. So, they drilled a 2 foot wide hole down through 33.5 feet of limestone bedrock. The hole became known as the Discovery Hole as it was the very first entrance into the cave (and the only one for several months!). As they explored, they have found over five miles of cave, making Inner Space Cavern the fourth largest cavern in Texas!",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/c0/c1/f4/big-room.jpg?w=100&h=-1&s=1,"4200 South IH 35, Georgetown, TX 78627",NULL
Cascade Falls Trail,4.5,Bodies of Water , Hiking Trails,NULL,This easy to moderate hiking trail offers a scenic view of Cascade Lake and Cascade Falls.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/67/8a/6d/cascade-falls-trail.jpg?w=100&h=-1&s=1,NULL,NULL
Englewood Beach,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2c/23/38/photo0jpg.jpg?w=100&h=-1&s=1,"2100 North Beach Rd, Englewood, FL 34223",NULL
Portage Glacier,4.5,NULL,NULL,8:00 AM - 8:00 PM,A popular tourist attraction.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/e4/28/fc/photo6jpg.jpg?w=100&h=-1&s=1,,NULL
Palo Duro Canyon State Park,4.5, Ancient Ruins , Canyons,NULL,"A dramatic 60-mile long and 800-foot deep canyon noted for its excellent hiking, birding, fishing and mountain biking.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/4b/3c/4f/spanish-skirts-landmark.jpg?w=100&h=-1&s=1,"11450 Park Road 5, Canyon, TX 79015-8747",NULL
Dry Falls,5.0,NULL,NULL,NULL,"Following paved walkways from the parking area, you can walk directly underneath the tumbling 75-foot waterfall.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/b3/79/9f/dry-falls.jpg?w=100&h=-1&s=1,NULL,NULL
Palace Theatre,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ef/a0/53/palace-theatre.jpg?w=100&h=-1&s=1,"80 Hanover St, Manchester, NH 03101-2212",NULL
Philadelphia Museum of Art,4.5,NULL,NULL,10:00 AM - 5:00 PM,"A surprise around every corner - discover the cultural heart of Philadelphia. The museum’s landmark building houses one of the most remarkable collections in the country, featuring some of the greatest works of American, Asia, and European art anywhere. You’ll find van Gogh's Sunflowers, the world’s largest Marcel Duchamp and the only dedicated Rodin Museum outside France. Eat. Drink. Shop. Whether you’re visiting for the first time or the fiftieth, you’ll always see something new. Catch a world-class exhibition or get to know the masterpieces that live year-round in the museum’s 200+ galleries, including many stunning architectural spaces and period rooms. Then, browse an impressive collection of art books and more at the Museum Store and grab a bite made by Constellation Culinary at one of the cafés or Stir, the only Frank Gehry–designed restaurant on the East Coast. Kids 18 and under are always free. Bring the whole family and enjoy kid-friendly programs all year long.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/62/3d/63/on-prend-son-elan.jpg?w=100&h=-1&s=1,"2600 Benjamin Franklin Pkwy, Philadelphia, PA 19130-2302",NULL
Air Mobility Command Museum,5.0,NULL,NULL,9:00 AM - 4:00 PM,"Located on the Dover Air Force Base, this museum showcases the history of military aviation through exhibits and a sizeable collection of planes that have been used throughout history. Our outside aircraft ramp will be available for you to see 25 historical military aviation aircraft. Main exhibit gallery is now open for both self-guided and docent led tours. The below guidelines apply: Museum hours are Wednesday–Sunday, 9 a.m. to 4 p.m.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/59/4c/4b/air-mobility-command.jpg?w=100&h=-1&s=1,"1301 Heritage Rd Dover Air Force Base, Dover, DE 19902",NULL
Jenkinson's Boardwalk,4.0,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/8d/15/5b/jenkinson-s-amusement.jpg?w=100&h=-1&s=1,"300 Ocean Ave, Point Pleasant Beach, NJ 08742-3261",NULL
The Comedy Barn,4.5, Comedy Clubs , Theatre & Performances,8:00 AM - 10:00 PM,"The Most Successful and Most Attended Clean Comedy Theater in the World - twenty-five years and counting! Get your entire family ready to laugh with fun barnyard animals, magicians, jugglers, ventriloquists, comedians, live country and gospel music! It’s a night of a thousand laughs – guaranteed! Bring the kids, bring your neighbors, bring your Pastor, bring Uncle Jack, bring your Granny - well you get the picture - bring EVERYONE for an evening of entertainment that's sure to get your giggles going! Arrive 30 min prior to show time. Full concessions sold.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/f2/3a/2f/a-side-splitting-high.jpg?w=100&h=-1&s=1,"2775 Parkway, Pigeon Forge, TN 37863-3214",NULL
Loop Road,5.0,NULL,NULL,NULL,Main route through Badlands National Park.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/3f/ec/d9/badlands-national-park.jpg?w=100&h=-1&s=1,NULL,NULL
Moses H. Cone Memorial Park,4.5,Historic Sites , Equestrian Trails,NULL,The home and grounds of textile manufacturer Moses Cone.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/88/00/18/moses-cone-house.jpg?w=100&h=-1&s=1,NULL,NULL
Dead Horse Point State Park,4.5,NULL,NULL,6:00 AM - 10:00 PM,"From the prominence of Dead Horse Point, 2,000 feet above a gooseneck in the Colorado River, an ever changing landscape unfurls. Immense vertical cliffs meet with canyons carved by ice, water and wind creating a visual masterpiece. Plants and animals surviving on the edge of existence face many challenges of extreme conditions within this high desert environment. Stories of ancient hunters, resting along the cliff tops while knapping chert in preparation for the next hunt, and cowboys of the late 1800's, chasing wild mustangs onto Dead Horse Point, using the narrow neck to block off the natural corral . What story will you discover on your visit to Dead Horse Point State Park?",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/0f/e7/53/dead-horse-point-state.jpg?w=100&h=-1&s=1,"Sr 313, Moab, UT 84532",NULL
Monomoy National Wildlife Refuge,4.5,NULL,NULL,NULL,Birdwatchers flock to this Cape Cod wildlife habitat with a special emphasis on migratory birds.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/46/7f/d5/monomoy-national-wildlife.jpg?w=100&h=-1&s=1,"30 Wikis Way on Morris Island, Chatham, MA 02633-2557",NULL
Gantry Plaza State Park,4.5,State Parks , Parks,8:00 AM - 10:00 PM,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/ec/96/4f/view-down-the-east-river.jpg?w=100&h=-1&s=1,"409 47th Rd, Long Island City, NY 11101-5509","How to get there
Vernon Boulevard – Jackson Ave • 6 min walk
21st St – Queensbridge • 9 min walk"
Blackberry Farm,4.5,NULL,NULL,NULL,,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/22/eb/18/blackberry-farm.jpg?w=100&h=-1&s=1,"100 S Barnes Rd, Aurora, IL 60506-8118",NULL
St. Charles Historic District,4.5,NULL,NULL,NULL,"Historic District St. Charles: 16 blocks of shopping, dining and lodging in historic, restored structures on the banks of the Missouri River. Settlement dates to 1769.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/b3/f9/39/old-st-charles-railroad.jpg?w=100&h=-1&s=1,NULL,NULL
Sitting Bull Falls,4.5,NULL,NULL,8:30 AM - 5:00 PM,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/8c/9c/97/the-falls.jpg?w=100&h=-1&s=1,NULL,NULL
National Ranching Heritage Center,5.0,Historic Sites , History Museums,10:00 AM - 5:00 PM,Open daily from 10 a.m. to 5 p.m. except 1 to 5 p.m. on Sunday. Visitors should plan to visit the 19-acre historic park early enough to complete their outdoor tour by 4 p.m. The indoor galleries close at 5 p.m. It takes 45 to 90 minutes to see the 53 ranch structures in the historic park and walk the 1.5 mile pathway. The outdoor park is both wheelchair and stroller accessible. Admission is free.,1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/50/cd/21/national-ranching-heritage.jpg?w=100&h=-1&s=1,"3121 4th St, Lubbock, TX 79409-4103",NULL
Northside Park,5.0,NULL,NULL,NULL,"Northside Park is located on 125th Street and the Bay. It is Ocean City's largest and most popular park and home to the Recreation and Parks Department administrative offices. This 58-acre complex boasts three lighted softball/baseball fields, a lighted soccer field, multipurpose field, a foot bridge, mini-borrowing library, concession stands, accessible playground, picnic shelter, two piers, over 1 mile of walking/jogging paths and a state of the art outdoor exercise area. Indoor facilities include a Community Center with 14,200 square foot gymnasium, kitchen, community room, conference room, patio, sitting areas and a Sports Center annex with a 21,000 square foot multi-use arena. Northside Park hosts more than 100 special events and recreational programs and activities each year for both residents and visitors to Ocean City.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/81/33/7d/northside-park.jpg?w=100&h=-1&s=1,"200 125th St Bayside, Ocean City, MD 21842-2247",NULL
National Videogame Museum,4.5,NULL,NULL,NULL,"The National Videogame Museum is the country's first dedicated videogame museum, established to document, preserve and exhibit our industry's rich history. This museum has 20 interactive exhibits on display including an 80s-themed arcade, gaming stations, an 80s room and more.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/d0/58/c5/arcade-wall-decoration.jpg?w=100&h=-1&s=1,"8004 Dallas Pkwy Ste. 300, Frisco, TX 75034-4003",NULL
